,Posisi,Nama Perusahaan,Lokasi Magang,Kuota,Tunjangan,Program Studi,Hari Libur,URL
3509,Penata Layanan Operasional,BBPVP Serang,Kota Serang,1 kuota,,"Ekonomi Pembangunan, Pendidikan Tekn. Informasi & Komunikasi, Ilmu Komputer, Manajemen, Akuntansi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-layanan-operasional-a242c8e0-2a99-4cea-a0a5-980e584ba15f
3515,Pengelola Multimedia,BPVP Bantaeng,Kab. Bantaeng,2 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem informasi, Manajemen Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-multimedia-a242b1bc-d0aa-4908-a94a-07dcfb934881
3517,Vide editor - TIH,BPVP Bantaeng,Kab. Bantaeng,1 kuota,,"Teknik Informatika, Multimedia, Ilmu Komputer, Desain Komunikasi Visual","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/vide-editor---tih-a242b9f8-7d2b-4bd1-9813-90069fc5fd9e
3527,Desainer Multimedia,BBPVP Serang,Kota Serang,1 kuota,,"Multimedia, Ilmu Komputer, Animasi, Desain Komunikasi Visual, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/desainer-multimedia-a242b047-bcd3-4cc2-98a5-74de13ef8873
3534,Pranata Komputer,BPVP Bantaeng,Kab. Bantaeng,2 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Manajemen Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a242aa3d-6823-4b64-95e0-314638b81365
3536,Vide editor - TIH,BPVP Bantaeng,Kab. Bantaeng,1 kuota,,"Teknik Informatika, Multimedia, Ilmu Komputer, Desain Komunikasi Visual","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/vide-editor---tih-a242b9f8-7d2b-4bd1-9813-90069fc5fd9e
3539,Pranata Komputer,BBPVP Semarang,Kota Semarang,3 kuota,,"Ilmu Komputer, Sistem Dan Teknologi Informasi, Sistem Informasi, Teknik informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a242066f-b881-47c6-ba45-aa2346f23e87
3543,PENGELOLA KEHUMASAN,LEMBAGA PEMASYARAKATAN KELAS III BANDANAIRA,Kab. Maluku Tengah,2 kuota,,"Teknik Informatika, Ilmu Komputer, Jurnalistik, Hubungan Masyarakat, Ilmu Komunikasi",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kehumasan-a243a5ff-add9-4ac1-9448-4d07d0f18c2f
3548,Pengolah Data dan Informasi,Satpel Pekanbaru,Kota Pekanbaru,1 kuota,,"Ilmu Komputer, Pendidikan Sistem dan Teknologi Informasi, Sistem Informasi, Sains Data Terapan, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengolah-data-dan-informasi-a243d689-19a6-4dcc-b7c8-3fc9835d4d62
3552,PENGELOLA KEHUMASAN,LEMBAGA PEMASYARAKATAN KELAS III BANDANAIRA,Kab. Maluku Tengah,2 kuota,,"Teknik Informatika, Ilmu Komputer, Jurnalistik, Hubungan Masyarakat, Ilmu Komunikasi",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kehumasan-a243a5ff-add9-4ac1-9448-4d07d0f18c2f
3570,Asisten Instruktur Kejuruan TIK,BPVP Ambon,Kota Ambon,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-instruktur-kejuruan-tik-a243bfab-8f01-4c78-b27a-5241d574e5ad
3576,Penata Kelola Sistem Informasi,BBPVP Makassar,Kota Makassar,4 kuota,,Ilmu Komputer,"Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-kelola-sistem-informasi-a243b627-8bb4-4023-91c9-9c4758a921cf
3582,Penata Kelola Sistem Informasi,BBPVP Makassar,Kota Makassar,4 kuota,,Ilmu Komputer,"Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-kelola-sistem-informasi-a243b627-8bb4-4023-91c9-9c4758a921cf
3593,Pranata Komputer,BPVP Kendari,Kota Kendari,5 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Komputer, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a2439cf3-539f-4c95-b94c-48bda3303d3f
3595,Web Developer,BBPVP Serang,Kota Serang,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/web-developer-a2439bac-cfec-44ec-b48a-a26510a6482c
3600,Web Developer,BBPVP Serang,Kota Serang,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/web-developer-a2439bac-cfec-44ec-b48a-a26510a6482c
3604,Pengolah Data dan Informasi,BPVP Kendari,Kota Kendari,4 kuota,,"Informatika, Ilmu Komputer, Manajemen, Statistik, Komputer Akutansi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengolah-data-dan-informasi-a2439a05-4d97-414c-a817-ed2982e4aaca
3633,Asisten Instruktur Elektronika,BPVP Padang,Kota Padang,1 kuota,,"Teknik Informatika, Ilmu Komputer, Teknik Elektro, Teknologi Elektronika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-instruktur-elektronika-a24378f4-800e-48aa-9d3a-d2a6bec8682d
3639,Pengolah Data dan Informasi,BPVP Bandung Barat,Kab. Bandung Barat,1 kuota,,"Ilmu Komputer, Sistem Informasi, Teknik informatika, Statistika, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengolah-data-dan-informasi-a24365a2-bfab-4324-920f-24fc63325732
3642,Instruktur Teknologi Informasi dan Komunikasi,BBPVP Medan,Kota Medan,4 kuota,,"Multimedia, Ilmu Komputer, Sistem Dan Teknologi Informasi, Desain Komunikasi Visual, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/instruktur-teknologi-informasi-dan-komunikasi-a24336e4-b36f-4c94-8034-cdf473d193e7
3643,Spesialis Pemasaran,BBPVP Medan,Kota Medan,1 kuota,,"Ilmu Komputer, Ilmu Administrasi Publik, Sistem Informasi, Akuntansi, Manajemen Pemasaran","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/spesialis-pemasaran-a2433a94-2575-4330-9909-5033e51b031f
3647,Penata Kelola Sistem dan Teknologi,BBPVP Medan,Kota Medan,2 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Dan Teknologi Informasi, Teknologi Rekayasa Komputer Jaringan, Teknologi Rekayasa Multimedia Grafis","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-kelola-sistem-dan-teknologi-a2433b9f-03a8-4977-9393-514e45e5e6a8
3659,Pranata Komputer,BBPVP Medan,Kota Medan,7 kuota,,"Multimedia, Ilmu Komputer, Desain Komunikasi Visual, Sistem Informasi, Ilmu Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a2430bba-1ee9-474d-b9b1-3a0c377c70e5
3685,Instruktur Ahli Pertama / Asisten Instruktur Kejuruan TIK,BPVP Banyuwangi,Kab. Banyuwangi,1 kuota,,"Ilmu Komputer, Teknik informatika, Sistem informasi, Pendidikan Teknik Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/instruktur-ahli-pertama--asisten-instruktur-kejuruan-tik-a2440b7a-a641-4b2f-aaad-c8625215013e
3688,Arsiparis,BPVP Banyuwangi,Kab. Banyuwangi,1 kuota,,"Teknik Informatika, Ilmu Komputer, Kearsipan, Manajemen, Administrasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/arsiparis-a2440311-2f3c-4423-b650-ae023d4bc015
3690,Instruktur Ahli Pertama / Asisten Instruktur Kejuruan TIK,BPVP Banyuwangi,Kab. Banyuwangi,1 kuota,,"Ilmu Komputer, Teknik informatika, Sistem informasi, Pendidikan Teknik Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/instruktur-ahli-pertama--asisten-instruktur-kejuruan-tik-a2440b7a-a641-4b2f-aaad-c8625215013e
3701,Web Developer,BPVP Banyuwangi,Kab. Banyuwangi,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Komputer dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/web-developer-a24407fb-c8ea-4e4f-b5f8-7b6476d8c2b6
3715,Asisten Instruktur Teknologi Informasi & Komunikasi,BBPVP Makassar,Kota Makassar,1 kuota,,"Teknik Informatika, Ilmu Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-instruktur-teknologi-informasi-&-komunikasi-a243d14b-bfd7-4b4d-a27f-6233d98d91ef
3716,Toolman TIK,BBPVP Bekasi,Kota Bekasi,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/toolman-tik-a243cc51-4a9d-4472-96d2-be8fd0515585
3724,Pengolah Data dan Informasi,Satpel Sawahlunto,Kota Sawahlunto,1 kuota,,"Ilmu Komputer, sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengolah-data-dan-informasi-a2437dd7-3e73-461b-ab06-77aa2c235f82
3730,Asisten Instruktur Teknologi Informasi & Komunikasi,BBPVP Makassar,Kota Makassar,1 kuota,,"Teknik Informatika, Ilmu Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-instruktur-teknologi-informasi-&-komunikasi-a243d14b-bfd7-4b4d-a27f-6233d98d91ef
3784,PENGELOLA RUMAH TANGGA DAN TATA USAHA,Kantor Unit Penyelenggara Bandar Udara Kelas II Mozes Kilangin - Timika,Kab. Mimika,1 kuota,,"Informatika, Ilmu Komputer, Manajemen, sistem informasi, Administrasi Perkantoran","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-rumah-tangga-dan-tata-usaha-a242d2c3-b80b-4632-80b7-a0192e10fb68
3827,Pranata Komputer,"Kantor Seksi Wilayah I Medan, Balai Penegakan Hukum Lingkungan Hidup Kota Jambi",Kota Medan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a241fb65-fdc7-4d57-a48d-7827f7de76e0
3839,Programmer,Sekretariat Badan Kebijakan Transportasi,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/programmer-a2441194-18fd-4c51-bad5-5a644b767d0c
3873,Asisten Pengembang Sistem dan Aplikasi Digital (Programmer),Kantor Regional V BKN Jakarta,Kota Adm. Jakarta Timur,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pengembang-sistem-dan-aplikasi-digital-programmer-a2417d82-5357-4ab0-be6f-7c759a977268
3898,Asisten Pengelolaan Data dan Informasi ASN,Kantor Regional XI BKN Manado,Kota Manado,1 kuota,,"Ilmu Komputer, Sistem informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pengelolaan-data-dan-informasi-asn-a2416a1e-468a-41d6-8275-ee88e6bd5602
3938,Asisten Pranata Komputer,BPS Provinsi Kalimantan Selatan,Kota Banjarbaru,2 kuota,,"Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi, Teknik informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a240bd21-967f-4bd0-924f-56fa0118c4b3
3945,Asisten Pranata Komputer,BPS Provinsi SUMATERA BARAT,Kota Padang,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f82d8-e798-4970-bf79-8d4b82ae67ed
3950,Asisten Statistisi,BPS Provinsi SUMATERA SELATAN,Kota Palembang,4 kuota,,"Sains Data, Ilmu Komputer, Sistem Informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a240e2c7-5020-43aa-985f-e6a39b6bab40
3955,Asisten Statistisi,BPS Provinsi Kalimantan Utara,Kab. Bulungan,5 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a23f45cc-e382-4fc5-8141-78d0fe7bfab9
3959,Asisten Statistisi,BPS Provinsi Maluku,Kota Ambon,6 kuota,,"Sains Data, Ilmu Komputer, Teknik Industri, Ekonomi, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a23f7f07-fe14-4a36-ab1b-9ef9ae86e873
3960,Asisten Pranata Komputer,BPS Provinsi Maluku,Kota Ambon,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Elektro","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f8015-a601-4891-b5df-756da94361bf
3962,Asisten Statistisi,BPS Provinsi Maluku,Kota Ambon,6 kuota,,"Sains Data, Ilmu Komputer, Teknik Industri, Ekonomi, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a23f7f07-fe14-4a36-ab1b-9ef9ae86e873
3963,Asisten Pranata Komputer,BPS Provinsi Kalimantan Utara,Kab. Bulungan,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Keamanan Sistem Informasi, Rekayasa Perangkat Lunak","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f452d-e054-4b40-8379-13bd5f560595
3965,Asisten Pranata Komputer,BPS Provinsi Kalimantan Timur,Kota Samarinda,2 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Sistem Informasi, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f7525-d9b3-496b-b228-e7ca2679b687
3969,Asisten Pranata Komputer,BPS Provinsi Sulawesi Tenggara,"XGHP+3PX, Mokoau, Kec. Kambu, Kota Kendari, Sulawesi Tenggara 93231, Indonesia",3 kuota,,"Teknik Informatika, Teknologi Rekayasa Perangkat Lunak, Sains Data, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f46af-5959-450e-8a96-853c7f4f5b40
3977,Asisten Pranata Komputer,BPS Provinsi Banten,Kota Serang,3 kuota,,"Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknologi Rekayasa Komputer Jaringan, Teknik Komputer","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f083e-34f5-4153-9a09-3975fc7e41cd
3978,Asisten Pranata Komputer,BPS Provinsi Banten,Kota Serang,3 kuota,,"Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknologi Rekayasa Komputer Jaringan, Teknik Komputer","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f083e-34f5-4153-9a09-3975fc7e41cd
3985,Asisten Statistisi,BPS Provinsi Banten,Kota Serang,5 kuota,,"Sains Data, Ilmu Komputer, Statistika, Demografi dan Pencatatan Sipil, Matematika","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a23f0420-8395-4e1d-970b-2a3c59fa00a0
4018,Asisten Pranata Komputer,BPS Provinsi Kalimantan Tengah,Kota Palangkaraya,4 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Sipil","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a243ccc2-fe50-4385-b70a-d599f40e12e8
4021,Asisten Pranata Komputer,BPS Provinsi BENGKULU,Kota Bengkulu,2 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknik informatika, Sistem informasi, Teknik Komputer","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a243bcac-0ff3-4719-b4fd-0f0c5c61f30c
4032,Asisten Pranata Komputer,BPS Provinsi DI Yogyakarta,Kab. Bantul,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a24340d3-a3cf-4e46-af73-65750fdc1ed9
4033,Asisten Statistisi,BPS Provinsi Gorontalo,Kota Gorontalo,5 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a242f521-2c29-43ed-88fc-ceb463c5d61e
4039,Asisten Pranata Komputer,BPS Provinsi Gorontalo,Kota Gorontalo,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242fa71-dd00-4a13-a342-d009668e7649
4052,Asisten Pranata Komputer,BPS Provinsi Sulawesi Barat,Kab. Mamuju,2 kuota,,"Teknik Informatika, Teknologi Rekayasa Perangkat Lunak, Sains Data, Ilmu Komputer, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242d193-7122-43d4-99eb-9c377bf93e9d
4063,Asisten Pranata Komputer,BPS Provinsi Nusa Tenggara Barat,Kota Mataram,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242c462-371b-4b31-9523-0cc98a1e278f
4068,Asisten Pranata Komputer,BPS Provinsi Nusa Tenggara Barat,Kota Mataram,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242c462-371b-4b31-9523-0cc98a1e278f
4072,Asisten Pranata Komputer,BPS Provinsi KEPULAUAN BANGKA BELITUNG,Kota Pangkal Pinang,5 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknologi Rekayasa Komputer, Teknik informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241fe7a-9505-4543-ac6a-59b14c377abf
4076,Asisten Pranata Komputer,BPS Provinsi Jawa Timur,Kota Surabaya,1 kuota,,"Ilmu Komputer, Sistem Informasi, Teknik informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a24189f1-c739-424a-b35d-6d5e642cab68
4078,Asisten Pranata Komputer,BPS Provinsi Sulawesi Utara,Kota Manado,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Rekayasa Perangkat Lunak, Pemeliharaan Komputer dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a24166d3-2e3f-4b92-8d2a-c16474e71456
4081,Asisten Statistisi,BPS Provinsi LAMPUNG,Kota Bandar Lampung,3 kuota,,"Sains Data, Ilmu Komputer, Ekonomi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a242aafd-6e3d-4c5e-ac96-3d06e510c5d8
4083,Asisten Pranata Komputer,BPS Provinsi LAMPUNG,Kota Bandar Lampung,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242b868-09d9-418d-9a5a-2ed8c162f533
4087,Asisten Pranata Komputer,BPS Provinsi KEPULAUAN BANGKA BELITUNG,Kota Pangkal Pinang,5 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknologi Rekayasa Komputer, Teknik informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241fe7a-9505-4543-ac6a-59b14c377abf
4091,Asisten Pranata Komputer,BPS Provinsi SUMATERA UTARA,Kota Medan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241e3ce-63aa-4e23-8277-f942744ac496
4092,Asisten Statistisi,BPS Provinsi Sulawesi Utara,Kota Manado,3 kuota,,"Teknologi Industri Pertanian, Ilmu Komputer, Ilmu Ekonomi, Statistik, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a2416432-197a-43c9-973d-a3057f527fa9
4096,Asisten Pranata Komputer,BPS Provinsi Jawa Barat,Kota Bandung,2 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a240fe40-ba4c-43f0-aeec-69e098ecf7ac
4099,Asisten Statistisi,BPS Provinsi DKI Jakarta,Kota Adm. Jakarta Pusat,8 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a24151f5-b802-4eff-8cce-d6909dcd6c84
4101,Asisten Statistisi,BPS Provinsi Sulawesi Barat,Kab. Mamuju,4 kuota,,"Sains Data, Ilmu Komputer, Sistem informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a24150a4-ae08-4601-88d0-7d5ccfcf3169
4103,Asisten Pranata Komputer,BPS Provinsi DKI Jakarta,Kota Adm. Jakarta Pusat,7 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a24154fb-f0ad-4d24-a6b7-8489a01eb2e3
4104,Asisten Statistisi,BPS Provinsi Sulawesi Barat,Kab. Mamuju,4 kuota,,"Sains Data, Ilmu Komputer, Sistem informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a24150a4-ae08-4601-88d0-7d5ccfcf3169
